LOG_2.5
Rate: 5
IntEvent,2023-03-08 12:05:33.257824,1
RecMsg,2023-03-08 12:05:33.532180,0,2
IntEvent,2023-03-08 12:05:33.738124,3
IntEvent,2023-03-08 12:05:33.942523,4
IntEvent,2023-03-08 12:05:34.142876,5
SentMsg,2023-03-08 12:05:34.348270,6
SentMsg,2023-03-08 12:05:34.551631,7
IntEvent,2023-03-08 12:05:34.757251,8
IntEvent,2023-03-08 12:05:34.962881,9
IntEvent,2023-03-08 12:05:35.168624,10
IntEvent,2023-03-08 12:05:35.373103,11
RecMsg,2023-03-08 12:05:35.577047,0,12
IntEvent,2023-03-08 12:05:35.778340,13
IntEvent,2023-03-08 12:05:35.979035,14
IntEvent,2023-03-08 12:05:36.183417,15
IntEvent,2023-03-08 12:05:36.386918,16
IntEvent,2023-03-08 12:05:36.591104,17
IntEvent,2023-03-08 12:05:36.794307,18
RecMsg,2023-03-08 12:05:36.999714,0,19
SentMsg,2023-03-08 12:05:37.201709,20
IntEvent,2023-03-08 12:05:37.404697,21
SentMsg,2023-03-08 12:05:37.606364,22
IntEvent,2023-03-08 12:05:37.812166,23
IntEvent,2023-03-08 12:05:38.015201,24
IntEvent,2023-03-08 12:05:38.220826,25
IntEvent,2023-03-08 12:05:38.426005,26
IntEvent,2023-03-08 12:05:38.627305,27
IntEvent,2023-03-08 12:05:38.832851,28
IntEvent,2023-03-08 12:05:39.038557,29
IntEvent,2023-03-08 12:05:39.243389,30
SentMsg,2023-03-08 12:05:39.447560,31
IntEvent,2023-03-08 12:05:39.651651,32
IntEvent,2023-03-08 12:05:39.857061,33
IntEvent,2023-03-08 12:05:40.059575,34
IntEvent,2023-03-08 12:05:40.260854,35
IntEvent,2023-03-08 12:05:40.462705,36
SentDoubMsg,2023-03-08 12:05:40.664034,37
IntEvent,2023-03-08 12:05:40.864508,38
