LOG_1.5
Rate: 4
SentDoubMsg,2023-03-08 12:05:33.309704,1
IntEvent,2023-03-08 12:05:33.564805,2
IntEvent,2023-03-08 12:05:33.820541,3
IntEvent,2023-03-08 12:05:34.071690,4
IntEvent,2023-03-08 12:05:34.326586,5
RecMsg,2023-03-08 12:05:34.579239,0,7
IntEvent,2023-03-08 12:05:34.831401,8
IntEvent,2023-03-08 12:05:35.082316,9
IntEvent,2023-03-08 12:05:35.332855,10
RecMsg,2023-03-08 12:05:35.584592,0,11
SentMsg,2023-03-08 12:05:35.839186,12
IntEvent,2023-03-08 12:05:36.092676,13
SentMsg,2023-03-08 12:05:36.348644,14
IntEvent,2023-03-08 12:05:36.602557,15
SentDoubMsg,2023-03-08 12:05:36.858225,16
IntEvent,2023-03-08 12:05:37.111343,17
RecMsg,2023-03-08 12:05:37.366859,0,20
RecMsg,2023-03-08 12:05:37.619119,0,22
IntEvent,2023-03-08 12:05:37.874301,23
IntEvent,2023-03-08 12:05:38.126720,24
SentMsg,2023-03-08 12:05:38.382768,25
IntEvent,2023-03-08 12:05:38.636049,26
IntEvent,2023-03-08 12:05:38.889200,27
IntEvent,2023-03-08 12:05:39.145914,28
SentMsg,2023-03-08 12:05:39.402889,29
SentMsg,2023-03-08 12:05:39.658187,30
IntEvent,2023-03-08 12:05:39.909668,31
IntEvent,2023-03-08 12:05:40.161647,32
IntEvent,2023-03-08 12:05:40.415540,33
RecMsg,2023-03-08 12:05:40.670850,0,37
IntEvent,2023-03-08 12:05:40.926658,38
SentMsg,2023-03-08 12:05:41.181745,39
SentDoubMsg,2023-03-08 12:05:41.436320,40
IntEvent,2023-03-08 12:05:41.690722,41
IntEvent,2023-03-08 12:05:41.943055,42
IntEvent,2023-03-08 12:05:42.197715,43
